,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
171,frc494,494,Martians,4.0,mibig,4mibig,0.0,miket,0miket,27.27,0.5806,83,0.8376
172,frc4956,4956,RoboSharks,3.0,mimas,3mimas,1.0,misjo,1misjo,20.93,0.4828,151,0.7045
173,frc4961,4961,Shock and Awe-sum,1.0,mike2,1mike2,3.0,mitry,3mitry,6.37,0.4259,455,0.1096
174,frc4967,4967,That ONE Team-OurNextEngineers,4.0,miken,4miken,3.0,milsu,3milsu,31.6,0.6552,54,0.8943
175,frc4983,4983,IronBots,1.0,mimtp,1mimtp,2.0,mitvc,2mitvc,17.83,0.5682,203,0.6027
176,frc4988,4988,Yooper Troopers,1.0,miesc,1miesc,3.0,milsu,3milsu,8.57,0.25,403,0.2114
177,frc4994,4994,Kingston Robo-Cards,0.0,miket,0miket,3.0,misal,3misal,13.09,0.3269,286,0.4403
178,frc4998,4998,TESLA,0.0,miket,0miket,3.0,mitry,3mitry,30.49,0.602,61,0.8806
179,frc503,503,25 Years of Frog Force,,cmptx,Nonecmptx,2.0,mibkn,2mibkn,28.98,0.6111,72,0.8591
180,frc5046,5046,Jacked Up Jackets,3.0,mibro,3mibro,1.0,mike2,1mike2,7.59,0.4,424,0.1703
181,frc5050,5050,Cow Town Robotics,3.0,mibro,3mibro,0.0,mifer,0mifer,17.1,0.5536,213,0.5832
182,frc5053,5053,Lakers,4.0,mimcc,4mimcc,3.0,mitry,3mitry,11.05,0.4194,324,0.3659
183,frc5056,5056,MegaHurtz Robotics,2.0,miber,2miber,1.0,misjo,1misjo,19.69,0.5303,166,0.6751
184,frc5065,5065,Knights #5065,4.0,mimcc,4mimcc,,,,3.4,0.46,500,0.0215
185,frc5066,5066,Singularity,0.0,mimil,0mimil,3.0,misal,3misal,15.63,0.4839,234,0.5421
186,frc5067,5067,Steiner Steel Storm,4.0,miliv,4miliv,3.0,misal,3misal,22.3,0.569,136,0.7339
187,frc5084,5084,Team FridgeBot,0.0,miket,0miket,3.0,miwmi,3miwmi,24.72,0.5532,100,0.8043
188,frc5086,5086,Cadillac Connectors,0.0,milac,0milac,2.0,mitvc,2mitvc,15.4,0.5517,240,0.5303
189,frc5090,5090,TorqueNados,0.0,mifer,0mifer,,,,24.23,0.6333,110,0.7847
190,frc51,51,Wings of Fire,2.0,mibel,2mibel,3.0,mimas,3mimas,28.8,0.5692,74,0.8552
191,frc5110,5110,Robo Herd,0.0,milac,0milac,2.0,mitvc,2mitvc,18.42,0.4559,185,0.638
192,frc5114,5114,Titanium Tigers,1.0,mike2,1mike2,3.0,misal,3misal,29.74,0.7333,68,0.8669
193,frc5144,5144,LISD TECHnicians,2.0,mibkn,2mibkn,,,,27.16,0.4681,84,0.8356
194,frc5150,5150,Hybrid Hornets,0.0,miket,0miket,3.0,misal,3misal,13.24,0.4167,283,0.4462
195,frc5152,5152,Alotobots,0.0,mibat,0mibat,2.0,mimus,2mimus,36.85,0.629,22,0.9569
196,frc5162,5162,The Big Red Theory,0.0,milac,0milac,3.0,milsu,3milsu,7.32,0.4231,432,0.1546
197,frc5166,5166,Fabricators,3.0,mibro,3mibro,4.0,mimid,4mimid,34.1,0.6167,35,0.9315
198,frc5167,5167,Vi-Bots,2.0,mibel,2mibel,0.0,mifer,0mifer,18.16,0.5345,193,0.6223
199,frc5182,5182,Chieftainators,2.0,miber,2miber,1.0,misjo,1misjo,6.49,0.25,450,0.1194
200,frc5183,5183,Devil Bots,1.0,mike2,1mike2,3.0,milsu,3milsu,9.06,0.5,382,0.2524
201,frc5193,5193,Pantheon,4.0,mimid,4mimid,,,,10.62,0.4167,338,0.3386
202,frc5197,5197,Northwestern,4.0,midet,4midet,2.0,midtr,2midtr,10.06,0.4167,353,0.3092
203,frc5205,5205,FullMetal-Jackets,2.0,mibkn,2mibkn,4.0,miliv,4miliv,9.02,0.4333,384,0.2485
204,frc5213,5213,St. Ignace SHIELD,3.0,milsu,3milsu,2.0,mitvc,2mitvc,12.19,0.4167,298,0.4168
205,frc5214,5214,The Mighty CavBots,4.0,mimcc,4mimcc,3.0,mitry,3mitry,7.65,0.375,422,0.1742
206,frc5216,5216,E-Ville Empire,4.0,mimid,4mimid,1.0,mimtp,1mimtp,29.94,0.6667,67,0.8689
